JobID,start_time,end_time,runtime_sec,NodeList,energy_j,energy_kwh,energy_j_job,energy_kwh_job,carbon_g,carbon_kg
5286168,2026-04-09 12:00:02,2026-04-09 18:44:33,24271.0,cn117,14230000.0,3.952777777777778,1185833.3333333333,0.3293981481481481,249.025,0.249025
5286169,2026-04-09 12:00:08,2026-04-09 16:03:55,14627.0,cn314,17870000.0,4.963888888888889,558437.5,0.15512152777777777,312.72499999999997,0.312725
5287362,2026-04-09 12:00:14,2026-04-09 12:02:18,124.0,cn016,77410.0,0.021502777777777777,806.3541666666666,0.00022398726851851852,1.3546749999999999,0.0013546749999999998
5286170,2026-04-09 12:00:26,2026-04-09 15:47:50,13644.0,cn305,16770000.0,4.658333333333333,524062.5,0.14557291666666666,293.47499999999997,0.293475
5286171,2026-04-09 12:00:32,2026-04-09 20:20:04,29972.0,cn009,17660000.0,4.905555555555556,1471666.6666666665,0.40879629629629627,309.05,0.30905
5286172,2026-04-09 12:00:34,2026-04-09 12:04:03,209.0,cn306,249610.0,0.06933611111111111,7800.3125,0.0021667534722222223,4.368175,0.004368175
5286174,2026-04-09 12:00:43,2026-04-09 18:48:12,24449.0,cn033,14090000.0,3.9138888888888888,1174166.6666666665,0.32615740740740734,246.575,0.246575
5286175,2026-04-09 12:00:46,2026-04-09 16:24:07,15801.0,cn303,18480000.0,5.133333333333334,577500.0,0.16041666666666668,323.40000000000003,0.3234
5287363,2026-04-09 12:00:49,2026-04-09 12:02:24,95.0,cn022,54720.0,0.0152,570.0,0.00015833333333333332,0.9576,0.0009576
5286176,2026-04-09 12:00:51,2026-04-09 16:50:18,17367.0,cn312,19690000.0,5.469444444444444,615312.5,0.17092013888888888,344.575,0.34457499999999996
5286177,2026-04-09 12:00:58,2026-04-09 16:28:20,16042.0,cn304,19920000.0,5.533333333333333,622500.0,0.17291666666666666,348.59999999999997,0.34859999999999997
5286178,2026-04-09 12:01:01,2026-04-09 19:28:54,26873.0,cn090,16079999.999999998,4.466666666666666,1339999.9999999998,0.3722222222222222,281.4,0.2814
5286179,2026-04-09 12:01:09,2026-04-09 15:37:52,13003.0,cn306,15800000.0,4.388888888888889,493750.0,0.1371527777777778,276.5,0.2765
5286180,2026-04-09 12:01:21,2026-04-09 16:20:53,15572.0,cn311,18860000.0,5.238888888888889,589375.0,0.16371527777777778,330.05,0.33005
5286181,2026-04-09 12:01:22,2026-04-09 19:01:10,25188.0,cn018,14510000.0,4.030555555555556,1209166.6666666665,0.3358796296296296,253.925,0.253925
5286182,2026-04-09 12:01:50,2026-04-09 14:57:17,10527.0,cn303,11990000.0,3.3305555555555557,374687.5,0.10407986111111112,209.82500000000002,0.209825
5286183,2026-04-09 12:01:54,2026-04-09 14:33:21,9087.0,cn321,11220000.0,3.1166666666666667,350625.0,0.09739583333333333,196.35,0.19635
5286184,2026-04-09 12:02:07,2026-04-09 12:05:37,210.0,cn303,261769.99999999997,0.07271388888888888,8180.312499999999,0.0022723090277777776,4.580975,0.004580974999999999
5286185,2026-04-09 12:02:11,2026-04-09 14:30:40,8909.0,cn319,11000000.0,3.0555555555555554,343750.0,0.0954861111111111,192.5,0.1925
5286186,2026-04-09 12:02:19,2026-04-09 14:31:50,8971.0,cn309,10340000.0,2.8722222222222222,323125.0,0.08975694444444444,180.95,0.18095
5286187,2026-04-09 12:02:23,2026-04-09 15:10:47,11304.0,cn303,12960000.0,3.6,405000.0,0.1125,226.8,0.2268
5286188,2026-04-09 12:02:26,2026-04-09 14:48:51,9985.0,cn315,12330000.0,3.425,385312.5,0.10703125,215.77499999999998,0.21577499999999997
5286189,2026-04-09 12:02:38,2026-04-09 14:55:14,10356.0,cn306,12570000.0,3.4916666666666667,392812.5,0.10911458333333333,219.975,0.219975
5286190,2026-04-09 12:02:41,2026-04-09 17:57:17,21276.0,cn501,9790000.0,2.7194444444444446,815833.3333333333,0.22662037037037036,171.32500000000002,0.171325
