timestamp,node,power_w
2026-04-09 11:44:48,icn501,458
2026-04-09 11:44:48,icn502,477
2026-04-09 11:44:48,icn503,453
2026-04-09 11:44:48,icn504,471
2026-04-09 11:44:48,icn505,481
2026-04-09 11:44:48,icn506,10
2026-04-09 11:44:48,icn507,464
2026-04-09 11:44:48,icn508,473
2026-04-09 11:44:48,icn509,473
2026-04-09 11:44:48,icn510,467
2026-04-09 11:44:48,icn511,470
2026-04-09 11:44:48,icn512,5
2026-04-09 11:44:48,icn513,466
2026-04-09 11:44:48,icn514,456
2026-04-09 11:44:48,icn515,465
2026-04-09 11:44:48,icn517,476
2026-04-09 11:44:48,icn518,10
2026-04-09 11:44:48,icn519,468
2026-04-09 11:44:48,icn520,436
2026-04-09 11:44:48,icn521,476
2026-04-09 11:44:48,icn522,482
2026-04-09 11:44:48,icn523,471
2026-04-09 11:44:48,icn524,7
2026-04-09 11:44:48,icn525,462
2026-04-09 11:45:51,icn501,462
2026-04-09 11:45:51,icn502,477
2026-04-09 11:45:51,icn503,459
2026-04-09 11:45:51,icn504,473
2026-04-09 11:45:51,icn505,476
2026-04-09 11:45:51,icn506,9
2026-04-09 11:45:51,icn507,465
2026-04-09 11:45:51,icn508,471
2026-04-09 11:45:51,icn509,475
2026-04-09 11:45:51,icn510,463
2026-04-09 11:45:51,icn511,465
2026-04-09 11:45:51,icn512,5
2026-04-09 11:45:51,icn513,457
2026-04-09 11:45:51,icn514,466
2026-04-09 11:45:51,icn515,467
2026-04-09 11:45:51,icn517,473
2026-04-09 11:45:51,icn518,10
2026-04-09 11:45:51,icn519,473
2026-04-09 11:45:51,icn520,448
2026-04-09 11:45:51,icn521,472
2026-04-09 11:45:51,icn522,488
2026-04-09 11:45:51,icn523,476
2026-04-09 11:45:51,icn524,7
2026-04-09 11:45:51,icn525,461
2026-04-09 11:46:54,icn501,456
2026-04-09 11:46:54,icn502,481
2026-04-09 11:46:54,icn503,458
2026-04-09 11:46:54,icn504,473
2026-04-09 11:46:54,icn505,475
2026-04-09 11:46:54,icn506,9
2026-04-09 11:46:54,icn507,463
2026-04-09 11:46:54,icn508,471
2026-04-09 11:46:54,icn509,469
2026-04-09 11:46:54,icn510,471
2026-04-09 11:46:54,icn511,468
2026-04-09 11:46:54,icn512,6
2026-04-09 11:46:54,icn513,462
2026-04-09 11:46:54,icn514,467
2026-04-09 11:46:54,icn515,464
2026-04-09 11:46:54,icn517,475
2026-04-09 11:46:54,icn518,10
2026-04-09 11:46:54,icn519,459
2026-04-09 11:46:54,icn520,446
2026-04-09 11:46:54,icn521,474
2026-04-09 11:46:54,icn522,481
2026-04-09 11:46:54,icn523,474
2026-04-09 11:46:54,icn524,8
2026-04-09 11:46:54,icn525,459
2026-04-09 11:47:57,icn501,454
2026-04-09 11:47:57,icn502,482
2026-04-09 11:47:57,icn503,477
2026-04-09 11:47:57,icn504,471
2026-04-09 11:47:57,icn505,478
2026-04-09 11:47:57,icn506,9
2026-04-09 11:47:57,icn507,463
2026-04-09 11:47:57,icn508,471
2026-04-09 11:47:57,icn509,474
2026-04-09 11:47:57,icn510,465
2026-04-09 11:47:57,icn511,464
2026-04-09 11:47:57,icn512,5
2026-04-09 11:47:57,icn513,470
2026-04-09 11:47:57,icn514,463
2026-04-09 11:47:57,icn515,468
2026-04-09 11:47:57,icn517,477
2026-04-09 11:47:57,icn518,9
2026-04-09 11:47:57,icn519,458
2026-04-09 11:47:57,icn520,456
2026-04-09 11:47:57,icn521,475
2026-04-09 11:47:57,icn522,475
2026-04-09 11:47:57,icn523,469
2026-04-09 11:47:57,icn524,7
2026-04-09 11:47:57,icn525,456
2026-04-09 11:49:00,icn501,462
2026-04-09 11:49:00,icn502,481
2026-04-09 11:49:00,icn503,457
2026-04-09 11:49:00,icn504,471
2026-04-09 11:49:00,icn505,463
2026-04-09 11:49:00,icn506,10
2026-04-09 11:49:00,icn507,462
2026-04-09 11:49:00,icn508,470
2026-04-09 11:49:00,icn509,473
2026-04-09 11:49:00,icn510,465
2026-04-09 11:49:00,icn511,466
2026-04-09 11:49:00,icn512,5
2026-04-09 11:49:00,icn513,464
2026-04-09 11:49:00,icn514,468
2026-04-09 11:49:00,icn515,470
2026-04-09 11:49:00,icn517,475
2026-04-09 11:49:00,icn518,10
2026-04-09 11:49:00,icn519,469
2026-04-09 11:49:00,icn520,441
2026-04-09 11:49:00,icn521,476
2026-04-09 11:49:00,icn522,479
2026-04-09 11:49:00,icn523,472
2026-04-09 11:49:00,icn524,6
2026-04-09 11:49:00,icn525,456
2026-04-09 11:50:04,icn501,461
2026-04-09 11:50:04,icn502,478
2026-04-09 11:50:04,icn503,457
2026-04-09 11:50:04,icn504,474
2026-04-09 11:50:04,icn505,475
2026-04-09 11:50:04,icn506,9
2026-04-09 11:50:04,icn507,467
2026-04-09 11:50:04,icn508,467
2026-04-09 11:50:04,icn509,472
2026-04-09 11:50:04,icn510,463
2026-04-09 11:50:04,icn511,468
2026-04-09 11:50:04,icn512,6
2026-04-09 11:50:04,icn513,468
2026-04-09 11:50:04,icn514,468
2026-04-09 11:50:04,icn515,469
2026-04-09 11:50:04,icn517,477
2026-04-09 11:50:04,icn518,10
2026-04-09 11:50:04,icn519,463
2026-04-09 11:50:04,icn520,440
2026-04-09 11:50:04,icn521,473
2026-04-09 11:50:04,icn522,482
2026-04-09 11:50:04,icn523,471
2026-04-09 11:50:04,icn524,7
2026-04-09 11:50:04,icn525,458
2026-04-09 11:51:07,icn501,464
2026-04-09 11:51:07,icn502,477
2026-04-09 11:51:07,icn503,462
2026-04-09 11:51:07,icn504,464
2026-04-09 11:51:07,icn505,476
2026-04-09 11:51:07,icn506,9
2026-04-09 11:51:07,icn507,467
2026-04-09 11:51:07,icn508,469
2026-04-09 11:51:07,icn509,474
2026-04-09 11:51:07,icn510,469
2026-04-09 11:51:07,icn511,463
2026-04-09 11:51:07,icn512,5
2026-04-09 11:51:07,icn513,466
2026-04-09 11:51:07,icn514,468
2026-04-09 11:51:07,icn515,466
2026-04-09 11:51:07,icn517,474
2026-04-09 11:51:07,icn518,10
2026-04-09 11:51:07,icn519,469
2026-04-09 11:51:07,icn520,455
2026-04-09 11:51:07,icn521,472
2026-04-09 11:51:07,icn522,483
2026-04-09 11:51:07,icn523,469
2026-04-09 11:51:07,icn524,6
2026-04-09 11:51:07,icn525,462
2026-04-09 11:52:11,icn501,451
